1.1	Азота неорганические соединения (в том числе азота оксидыО, азота диоксидО)
1.30.1	Алифатические одно- и многоатомные, ароматические спирты и их производные: этанол, бутан-1-ол, бутан-2-ол, бутанол, метанол, пропан-1-ол, пропан-2-ол, 2-(Проп-2-енокси) этанол, 2-этоксиэтанолР, бензилкарбинолР, этан-1,2-диол (этиленгликоль), пропан-2-диол (пропиленгликоль)
1.31	СурьмаР и ее соединения
1.32	Таллий, индий, галлий и их соединения
1.33	ТитанФ, цирконий, гафний, германий и их соединения
1.34	Углеводородов алифатических галогенопроизводные, в том числе:
1.34.1	ДихлорметанР (хлористый метилен), 1,2- дихлорэтан, тетрахлорметан (четыреххлористый углерод)Р, трихлорметан (хлороформ), хлорметанР (хлористый метил), бромэтан, трихлорэтан, трихлорэтен, 1 и 2-хлорбута-1,3-диен (хлоропрен)Р, тетрафторэтен (перфторизобутилен), 2-бром-1,1,1-трифтор-2 хлорэтан (фторотан)Р и другие
1.34.2	ХлорэтенКР (винилхлорид)
1.35	Углеводороды гетероциклические: фуранА, фуран-2-альдегидА (фурфураль), пиридин и его соединения, пиперидины, тетрагидро-1,4-оксазин (морфолин) и другие
1.36	Углеводороды алифатические предельные, непредельные, циклические, в том числе:
1.36.1	Метан, этан, пропан, парафины, этилен, пропилен, ацетилен, циклогексан
1.36.2	Бута-1,3-диенКР (1,3-бутадиен, дивинил)
1.36.3	1,7,7триметилбицикло [2,2,1 ]гептан-2-он (камфара)
1.37	Углеводороды ароматические:
1.37.1	БензолКР, и его производные: (толуолР (метилбензол), ксилолР (диметилбензол), стирол (этенилбензол) и прочие), гидроксибензолР (фенол) и его производные, крезол в том числе:
1.37.1.1	Амино- и нитросоединения ароматических углеводородов и их производные: аминобензол (анилин), м-, п-толуидин, N-метиламинобензол (метил-аланин), аминонитро-бензолы; нитрохлорбензолы, нитро-, аминофенолы, 2-метил-1,3,5-тринитробензол (тринитротолуол), диамино-бензолыА (фенилен-диамины), 1-амино-3-хлорбензолол, 1-амино-4-хлорбензол (хлоранилины), аминодиметилбензол (ксилидин) и другие
1.37.1.2	Галогенопроизводные ароматические углеводороды: хлорбензол, (хлорметил)бензолА (хлортолуол; бензилхлорид), бромбензолА, трихлорбензол, трифтор-метилбензол, 1-гидрокси-2-хлорбензол, 1-гидрокси-4-хлорбензол, 1-гидрокси-2,4,6 трихлорбензол (хлорфенолы), 4-ди-хлорметилен-1,2,3,5,5-гексахлорциклопент-1-енА и другие
1.37.2	Полициклические ароматические углеводороды и их производные (нафталин, нафтолы, бенз(а)пиренКР, дибенз(а,h)антраценК, антрацен, бензантрон, бенз(а)антраценК, фенантрен, 4-гидрокси-3-(3оксо-1-фенилбу-2Н-1 -бензопиранР)
1.38	Углеводородов алифатических амино- и нитросоединения и их производные (в том числе метиламин, этилениминАО, 1,6-диаминогексан (гексаметилендиамин)А, циклогексиламин)
1.39	Углерода оксидро
1.4	Альдегиды и кетоны галогенопроизводные (хлорбензальдегид (4- хлорбензальдегид), фторацетон, хлорацетофенон)
1.40	Фосфор и его соединения, в том числе:
1.40.1	Фосфорсодержащие неорганические соединения (в том числе фосфинО, фосфориллоридО, фосфиды металлов, галогениды фосфора, фосфор пентаоксид)
1.40.2	Фосфорсодержащие органические соединения - трикрезилфосфатР и другие
1.41	Хиноны и их производные (в том числе нафтохиноны, бензохиноны, гидрохиноныА, антрахинон (антрацен-9,10-дион)
1.42	Хром (VI) триоксидкр, диХромтриоксидА, хром трихлорид гексагидратА, хромовая кислотаАК и ее соли, соединения хрома и сплавы
1.43	Цианистые соединения, в том числе:
1.43.1	Цианистоводородная кислотаО, ее соли, галоген- и другие производные (цианистый калийО, хлорцианО, цианамид и прочие - гидроцианида солиО, бензилцианидО); нитрилы органических кислот: ацетонитрил, бензонитрил и другие
1.43.2	АкрилонитрилРА (проп-2-енонитрил)
1.44	Цинк и его соединенияА
1.45	Эфиры сложные кислот органических, в том числе:
1.45.1	Эфиры сложные уксусной кислоты (в том числе этилацетат, бутилацетат, 2-метоксиэтилацетатР, 2-этоксиэтилацетатР)
1.45.2	Эфиры сложные акриловой кислоты (в том числе метилакрилат (метилпроп-2-еноат), бутилакрилат(бутилпроп-2-еноат), метилметакрилат)
1.45.3	Эфиры сложные фталевой и терефталевой кислот: дибутилбензол-1,2-дикарбонат (дибутилфталат), диметилбензол-1,2-дикарбонат (диметилтерефталат) и другие
1.46	Красители и пигменты органические (в том числе азокрасители, бензидиновыеК, фталоцианиновые, хлортиазиновые, антрахиноновые, триарилметановые, тиоин-дигоидные, полиэфирные)
1.47	Пестициды, инсектициды, гербициды, в том числе:
1.47.1	ХлорорганическиеА (в том числе метоксихлор, гепта-хлор, хлоридан, дихлор, гексахлорбензол, гексахлорциклогексан (линдан), дикофол, 1,1,-(2,2,2трихлорэтилиден) бис (4хлорбензол)Р (ДДТ)
1.47.10	Производные мочевины и гуанидина
1.47.11	Производные сим-тразинов: атразин, прометрин, тербутрин
1.47.12	Гетероциклические соединения различных групп: зоокумарин(4- гидрокси-3-(3-оксо-1 -фенилбу-2Н-1-бензопиран-2-онтил), ратиндан (2-(Дифенилацетил)-1Н-инден-1,3-(2Н)- дион), морестан, пирамин (5-Амино-2-фенил-4-хлорпридазин 3(2Н)-он), тиазон (3,5-Диметил-2Н-1,3,5-тиадиазин-2-тион)
1.47.13	Хлорацетоанилиды (ацетохлор, алахлор, метазахлор, метолахлор)
1.47.14	Пиретроиды (в том числе бифентрин, перметрин, фенвалерат, лямбдацыгалотрин, цыгалотрин, дельтаметрин)
1.47.15	Производные сульфанил-мочевины (в том числе хлорсульфурон, римсульфурон, хлорсульфоксим, метмульфуронметил, трибунуронметил, тифенсульфурон-метил)
1.47.16	Азолы (в том числе бромуконазол, ципраконазол, пропиконазол, тритиконазол, триадименол, прохлораз, имозалил)
1.47.2	Фосфорорганические (в том числе метафос, метилэтил-тиофос, меркаптофос, карбофос, М-81, рогор, дифлос, хлорофос, глифосфат, гордона, валексон, диазинон, диметоат, малатион, паратионметил, хлорфенвинфос)
1.47.3	Ртутьорганические (в том числе этилмеркурхлорид диметилртуть)
1.47.4	Производные кислот карбаминовых: (в том числе каторана-вадекс, дихлоральмочевина, метурин, фенуроп, севинА, манебА, дикрезил, ялан, эптам, карбатионА, цинебА, карбофуран, карбосульфан, пиримикарб, тирам, манкоцеб, поликарбацин, десмедифам, фенмедифам)
1.47.5	Производные кислот алифатических хлорированных (в том числе хлоруксусной, трихлоруксусной)
1.47.6	Производные кислоты хлорбензойной
1.47.7	Производные кислоты хлороксиуксусной: 2,4-дихлорфеноксиуксусная кислота (2,4Д), аминная соль 2,4- дихлорфеноксиуксусной кислоты (2,4ДА), 4-хлор-2-метилфеноксиуксусная кислота (МСРА)
1.47.8	Кислоты хлорфеноксимасляной производные
1.47.9	Кислот карбоновых анилиды галоидозамещенные
1.48	Синтетические моющие средства на основе анионных поверхностно активных веществ и их соединения (в том числе сульфанол, алкиламиды)А
1.49	Синтетические полимерные материалы: смолы, лаки, клеи, пластмассы, пресспорошки, волокна, в том числе:
1.49.1	Полиакрилаты: полиметакрилаты (оргстекло, плексиглаз), полиакрилонитрил, полиакриламид
1.49.10	Углеродные волокнистые материалы на основе гидратцеллюлозных волокон и углеродные волокнистые материалы на основе полиакрилонитрильных волокон
1.49.11	ФенопластыАФ (фенольная смола, бакелитовый лак) (производство)
1.49.12	Фторопласты (политетрафторэтиленФ, тефлон) (производство и термическая обработка)
1.49.13	ФуранА, фуран-2-альдегидА, 2,5- фурандионА
1.49.14	Эпоксидные полимерыА (эпоксидные смолы, компаунды, клеи) (производство и применение)
1.49.2	ПоливинилхлоридАФ (ПВХ, винилпласты, перхлорвиниловая смола), производство и применение
1.49.3	Полимер (1метилэтенил) бензола с этенилбензоломР
1.49.4	Полиолефины (полиэтилены, полипропиленыА (горячая обработка)
1.49.5	Полисилоксаны (производство)
1.49.6	Полистиролы (производство)
1.49.7	ПолиуретаныА (пенополиуретан) (производство)
1.49.8	Полиэфиры (лавсан) (производство)
1.49.9	Угле- и органопластики
1.5	Алюминий и его соединения, в том числе:
1.5.1	Алюмоплатиновые катализаторыА
1.50	Технические смеси углеводородов: нефти, бензиныР, коксыФ, керосины, уайт-спиритР, мазуты, битумы, асфальты, каменноугольные и нефтяные смолыК, пекик, возгоны каменноугольных смол и пековК, масла минеральныек, (кроме высокоочищенных белых медицинских, пищевых, косметических и белых технических масел), сланцевые смолыАК и маслаАК, скипидарА, бисхлорметиловый и хлорметиловый (технические) эфиры: хлорметоксиметанК, газы шинного производстваК, вулканизационныеК
1.51.1	Фосфорные удобрения (аммофос, нитрофоска)
1.51.2	Азотные удобрения (нитрат аммония - аммиачная селитра, нитраты натрия, калия)
1.52.1	АнтибиотикиА (производство и применение)
1.52.2	Противоопухолевые препаратыАК (производство и применение)
1.52.3	СульфаниламидыА (производство и применение)
1.52.4	Гормоны (производство и применение)
1.52.5	ВитаминыА (производство, применение)
1.52.6	Наркотики, психотропные препараты (производство)
1.52.7	Фармакологические средства, не вошедшие в подпункты 1.52.1 - 1.52.6 (производство)
1.53	Ядохимикаты, в том числе:
1.53.1	Гербициды
1.53.2	Инсектициды
1.6	Бериллий и его соединенияАКР
1.7	Бор и его соединения, в том числе:
1.7.1	Борная кислота, бор нитридФ, бор трифторидО, тетраБор карбидФ, тетраБор трисилицидФ
1.7.2	БороводородыО
1.8.1	ХлорО:
1.8.1.1	Хлора неорганические соединения (гидрохлоридО, кислоты, оксиды)
1.8.1.2	Хлорсодержащие органические соединения
1.8.2	БромАО
1.8.2.1	Брома неорганические соединения (бромАО)
1.8.2.2	Бромсодержащие органические соединения (в том числе бромбензол, бромгексан, бромметан)
1.8.3	Йод
1.8.3.1	Йода неорганические соединения (йод, оксиды, кислоты и прочие)
1.8.3.2	Йодсодержащие органические соединения (в том числе йодбензол, йодметилбензол)
1.8.4	ФторО
1.8.4.1	Фтора неорганические соединения (в том числе фторО, гидрофторидРО, аммоний фторидР, соединения металлов с фтором: барий дифторидР, калий фторидР, литий фторидР, натрий фторидР, криолитР, олово фторидР)
1.8.4.2	Фторорганические соединения и фторхлорорганические соединения (в том числе дихлорфторметан, дихлорфторметилбензол, фторхлорэтан)
1.9	Карбонилдихлорид (фосген)О
2.1	Грибы продуцентыА, белково-витаминные концентраты (БВК), кормовые дрожжиА, комбикормаА
2.2	Ферментные препаратыА, биостимуляторы
2.3	Аллергены для диагностики и леченияА, компоненты и препараты крови, иммунобиологические препаратыА
2.4	Патогенные биологические агенты (ПБА) - патогенные для человека микроорганизмы - возбудители инфекционных заболеваний (бактерии, вирусы, хламидии, риккетсии, грибы, гельминты, членистоногие), включая генно-инженерно- модифицированные, яды биологического происхождения (токсины), а также любые объекты и материалы (включая полевой, клинический, секционный), подозрительные на содержание перечисленных агентов:
2.4.1	Возбудители инфекционных заболеваний патогенные микроорганизмы I группы патогенности и возбудители особо опасных инфекций
2.4.2	Возбудители инфекционных заболеваний патогенные микроорганизмы II группы патогенности, в т.ч. вирусы гепатитов ВК и СК, вирус иммунодефицита 1-го типа (ВИЧ-1К - СПИД)
2.4.3	Возбудители инфекционных заболеваний патогенные микроорганизмы III и IV групп патогенности и возбудители паразитарных заболеваний (гельминты, членистоногие)
2.4.4	Биологические токсины (микробного, растительного и животного происхождения)
2.4.5	Условно-патогенные микроорганизмы - возбудители инфекционных заболеваний (в том числе аллергозов)
3.1.1	Аэрозоли абразивные и абразивсодержащие (электрокорундов, карбида бора, альбора, карбида кремния), в том числе с примесью связующих (фенолформальдегидные смолыАФ, эпоксидные смолыАФ)
3.1.10	Шлаки (шлак угольный молотый, строительные материалы на его основе: шлакоблоки, шлакозит; шлак, образующийся при выплавке низколегированных сталей (неволокнистая пыль)
3.1.2	Аэрозоли металлов (железо, алюминий, титан, вольфрам) и их сплавов (кремниемедистый, диАлюминий триоксид в смеси со сплавом никеля до 15%, феррохром: сплав хрома 65% с железом, диАлюминий триоксид с примесью кремний диоксида до 15% и диЖелезо триоксида до 10%), в том числе образовавшиеся в процессе сухой шлифовки (чугун в смеси с электрокорундом до 30%)ФА, получения металлических порошковФА
3.1.3	Кремний диоксид кристаллический а-кварцК, а-кристобалитК, а-тридимитФА
3.1.4	Кремнийсодержащие аэрозоли: - с содержанием кристаллического диоксида кремнияК - с содержанием аморфного диоксида кремния в виде аэрозоля дезинтеграции и конденсации - кремний карбид, кремний нитрид, волокнистый карбид кремнияФА
3.1.5	Огнеупорные материалы (шамотнографитовые огнеупоры), муллитовые (неволокнистые) огнеупоры, магнезиально-силикатные (форстеритовые) огнеупоры, муллито-кремнеземистые, не содержащие и содержащие до 5%
3.1.6	Руды полиметаллические и содержащие цветные и редкие металлыА
3.1.7	Сварочные аэрозоли, представляющие сложную смесь АПФД (кремний диоксид аморфный в смеси с оксидами марганца в виде аэрозоля конденсации, дижелезо триоксид, титан диоксид, вольфрам, алюминий и его соединения) и химических веществ разной природы: аэрозоли металлов (в том числе марганцаР, цинкаА, хрома (VI)К, хрома (Ш)А, бериллияРКА, никеляК, хром трифторидаА), газы, обладающие остронаправленным действием на организмО
3.1.8.1	Асбесты природные (хризотилК, тремолитК), смешанные асбестопородные пылиК, асбестоцементК, асбестобакелитК, асбесторезинаФК
3.1.8.2	Глина, в т.ч. высокоглинистая огнеупорная, цемент, оливин, апатит, шамот коалиновыйФА
3.1.8.3	Тальк, талькопородные пыли, цеолиты, бокситы, нефелиновые сиениты, дистенсиллиманиты, слюды (флагопит, мусковит), дуниты, известняки, бариты, инфузорная земля, туфы, пемзы, перлит, искусственные минеральные волокна (стекловолокноФА, стекловатаФА, вата минеральнаяФА и шлаковаяФА), пыль стеклаФА и стеклянных строительных материаловФА
3.1.9.1	Алмазы природныеФ, искусственныеФ, металл изированныеФ
3.1.9.2	АнтрацитФ и другие ископаемые углиФ и углеродные пылиФ
3.1.9.3	Коксы - каменноугольныйФК, пековыйФК, нефтянойФК, сланцевыйФК
3.1.9.4	Сажи черные промышленныеФК
3.2	Пыли железорудныхФК и полиметаллических концентратовФК, металлургических агломератовФА
3.3	СераФ
3.4	Пыль животного и растительного происхожденияАФ (с примесью диоксида кремнияАФ, зерноваяАФ, лубянаяАФ, хлопчатобумажнаяАФ, хлопковаяАФ, льнянаяАФ, шерстянаяАФ, пуховаяАФ, натурального шелка хлопковая мука (по белку)А, мучнаяАФ, древесная твердых пород деревьевКФА, кожевеннаяК, торфа, хмеля, конопли, кенафа, джута, табакаА)
4.1	Ионизирующие излученияК, радиоактивные веществаК
4.10	Пониженное давление воздушной и (или) газовой сред и пониженное парциальное давление кислорода во вдыхаемом воздухе или искусственной дыхательной газовой смеси в случае, если указанное давление необходимо поддерживать в производственных зданиях, помещениях и (или) сооружениях в соответствии с применяемой технологией работ (за исключением работ, указанных в пунктах 19 - 21 раздела VI)
4.2	Неионизирующие излучения, в том числе:
4.2.1	Электромагнитное излучение оптического диапазона (ультрафиолетовое излучениеК, лазерное излучение)
4.2.2	Электромагнитное поле радиочастотного диапазона (10 кГц - 300 ГГц)
4.2.3	Электрическое и магнитное поле промышленной частоты (50 Гц)
4.2.4	Постоянное электрическое и магнитное поле
4.2.5	Электромагнитное поле широкополосного спектра частот (5 Гц - 2 кГц, 2кГц - 400 кГц)
4.3.1	Локальная вибрация
4.3.2	Общая вибрация (транспортная, транспортно-технологическая, технологическая)
4.4	Шум
4.5	Ультразвук воздушный, ультразвук контактный
4.6	Инфразвук
4.7	Параметры охлаждающего микроклимата (температура, влажность, скорость движения воздуха)
4.8	Параметры нагревающего микроклимата (температура, индекс тепловой нагрузки среды, влажность, тепловое излучение)
4.9	Освещенность рабочей поверхности
5.1	Тяжесть трудового процесса. Подъем, перемещение, удержание груза вручную. Стереотипные рабочие движения. Рабочее положение тела работника (длительное нахождение работника в положении “стоя”, “сидя” без перерывов, “лежа”, “на коленях”, “на корточках”, с наклоном или поворотом туловища, с поднятыми выше уровня плеч руками, с неудобным размещением ног, с невозможностью изменения взаимного положения различных частей тела относительно друг друга, длительное перемещение работника в пространстве). Работы, связанные с постоянной ходьбой и работой стоя в течение всего рабочего дня
5.2	Напряженность трудового процесса (сенсорные нагрузки), в том числе:
5.2.1	Работы с оптическими приборами (более 50% времени смены)
5.2.2	Нагрузка на голосовой аппарат (суммарное количество часов, наговариваемое в неделю, более 20)
